"Detector Number",Name,"Azimuth (rad)","Elevation (rad)","Rotation (rad)","Distance (cm)","Width (cm)","Height (cm)"
0,BottomCenter,0,-1.570796,0,44.9,15,15
0,BotCenEntry,0,-1.12635188235045,0,44.9,15,15
0,BotCenExit,0,-2.01524077123934,0,44.9,15,15
0,BotRight0,0.785398163397448,-0.948574104572674,0.7853981634,44.9,15,15
0,BotRight2,2.35619449019234,-0.948574104572674,0.7853981634,44.9,15,15
0,BotLeft0,3.92699081698724,-0.948574104572674,0.7853981634,44.9,15,15
0,BotLeft2,5.49778714378214,-0.948574104572674,0.7853981634,44.9,15,15
0,BotRight1,1.5707963267949,-1.12635188235045,0,44.9,15,15
0,BotLeft1,-1.5707963267949,-1.12635188235045,0,44.9,15,15
1,A0,0,0.558505,0.7853981634,44.9,15,15
2,A1,0.628319,0.558505,0.7853981634,44.9,15,15
3,A2,1.25664,0.558505,0.7853981634,44.9,15,15
4,A3,1.88496,0.558505,0.7853981634,44.9,15,15
5,A4,2.51327,0.558505,0.7853981634,44.9,15,15
6,A5,3.14159,0.558505,0.7853981634,44.9,15,15
7,A6,-2.51327,0.558505,0.7853981634,44.9,15,15
8,A7,-1.88496,0.558505,0.7853981634,44.9,15,15
9,A8,-1.25664,0.558505,0.7853981634,44.9,15,15
10,A9,-0.628319,0.558505,0.7853981634,44.9,15,15
11,B0,0.314159,0.279253,0.7853981634,41.9,15,15
12,B1,0.942478,0.279253,0.7853981634,41.9,15,15
13,B2,1.5708,0.279253,0.7853981634,41.9,15,15
14,B3,2.19911,0.279253,0.7853981634,41.9,15,15
17,B6,-2.19911,0.279253,0.7853981634,41.9,15,15
18,B7,-1.5708,0.279253,0.7853981634,41.9,15,15
19,B8,-0.942478,0.279253,0.7853981634,41.9,15,15
20,B9,-0.314159,0.279253,0.7853981634,41.9,15,15
21,C1,0.628319,0,0.7853981634,38.9,15,15
22,C2,1.25664,0,0.7853981634,38.9,15,15
23,C3,1.88496,0,0.7853981634,38.9,15,15
26,C7,-1.88496,0,0.7853981634,38.9,15,15
27,C8,-1.25664,0,0.7853981634,38.9,15,15
28,C9,-0.628319,0,0.7853981634,38.9,15,15
29,D0,0.314159,-0.279253,0.7853981634,41.9,15,15
30,D1,0.942478,-0.279253,0.7853981634,41.9,15,15
31,D2,1.5708,-0.279253,0.7853981634,41.9,15,15
32,D3,2.19911,-0.279253,0.7853981634,41.9,15,15
35,D6,-2.19911,-0.279253,0.7853981634,41.9,15,15
36,D7,-1.5708,-0.279253,0.7853981634,41.9,15,15
37,D8,-0.942478,-0.279253,0.7853981634,41.9,15,15
38,D9,-0.314159,-0.279253,0.7853981634,41.9,15,15
39,E0,0,-0.558505,0.7853981634,44.9,15,15
40,E1,0.628319,-0.558505,0.7853981634,44.9,15,15
41,E2,1.25664,-0.558505,0.7853981634,44.9,15,15
42,E3,1.88496,-0.558505,0.7853981634,44.9,15,15
43,E4,2.51327,-0.558505,0.7853981634,44.9,15,15
45,E6,-2.51327,-0.558505,0.7853981634,44.9,15,15
46,E7,-1.88496,-0.558505,0.7853981634,44.9,15,15
47,E8,-1.25664,-0.558505,0.7853981634,44.9,15,15
48,E9,-0.628319,-0.558505,0.7853981634,44.9,15,15
