"Detector Number",Name,"Azimuth (rad)","Elevation (rad)","Rotation (rad)","Distance (cm)","Width (cm)","Height (cm)"
1,A0,0,0.558505,0.7853981634,45.5,15.819,15.819
2,A1,0.628319,0.558505,0.7853981634,45.5,15.819,15.819
3,A2,1.25664,0.558505,0.7853981634,45.5,15.819,15.819
4,A3,1.88496,0.558505,0.7853981634,45.5,15.819,15.819
5,A4,2.51327,0.558505,0.7853981634,45.5,15.819,15.819
6,A5,3.14159,0.558505,0.7853981634,45.5,15.819,15.819
7,A6,-2.51327,0.558505,0.7853981634,45.5,15.819,15.819
8,A7,-1.88496,0.558505,0.7853981634,45.5,15.819,15.819
9,A8,-1.25664,0.558505,0.7853981634,45.5,15.819,15.819
10,A9,-0.628319,0.558505,0.7853981634,45.5,15.819,15.819
11,B0,0.314159,0.279253,0.7853981634,42.5,15.819,15.819
12,B1,0.942478,0.279253,0.7853981634,42.5,15.819,15.819
13,B2,1.5708,0.279253,0.7853981634,42.5,15.819,15.819
14,B3,2.19911,0.279253,0.7853981634,42.5,15.819,15.819
15,B4,2.82743,0.279253,0.7853981634,42.5,15.819,15.819
16,B5,-2.82743,0.279253,0.7853981634,42.5,15.819,15.819
17,B6,-2.19911,0.279253,0.7853981634,42.5,15.819,15.819
18,B7,-1.5708,0.279253,0.7853981634,42.5,15.819,15.819
19,B8,-0.942478,0.279253,0.7853981634,42.5,15.819,15.819
20,B9,-0.314159,0.279253,0.7853981634,42.5,15.819,15.819
21,C1,0.628319,0,0.7853981634,39.5,15.819,15.819
22,C2,1.25664,0,0.7853981634,39.5,15.819,15.819
23,C3,1.88496,0,0.7853981634,39.5,15.819,15.819
24,C4,2.51327,0,0.7853981634,39.5,15.819,15.819
25,C6,-2.51327,0,0.7853981634,39.5,15.819,15.819
26,C7,-1.88496,0,0.7853981634,39.5,15.819,15.819
27,C8,-1.25664,0,0.7853981634,39.5,15.819,15.819
28,C9,-0.628319,0,0.7853981634,39.5,15.819,15.819
29,D0,0.314159,-0.279253,0.7853981634,42.5,15.819,15.819
30,D1,0.942478,-0.279253,0.7853981634,42.5,15.819,15.819
31,D2,1.5708,-0.279253,0.7853981634,42.5,15.819,15.819
32,D3,2.19911,-0.279253,0.7853981634,42.5,15.819,15.819
33,D4,2.82743,-0.279253,0.7853981634,42.5,15.819,15.819
34,D5,-2.82743,-0.279253,0.7853981634,42.5,15.819,15.819
35,D6,-2.19911,-0.279253,0.7853981634,42.5,15.819,15.819
36,D7,-1.5708,-0.279253,0.7853981634,42.5,15.819,15.819
37,D8,-0.942478,-0.279253,0.7853981634,42.5,15.819,15.819
38,D9,-0.314159,-0.279253,0.7853981634,42.5,15.819,15.819
39,E0,0,-0.558505,0.7853981634,45.5,15.819,15.819
40,E1,0.628319,-0.558505,0.7853981634,45.5,15.819,15.819
41,E2,1.25664,-0.558505,0.7853981634,45.5,15.819,15.819
42,E3,1.88496,-0.558505,0.7853981634,45.5,15.819,15.819
43,E4,2.51327,-0.558505,0.7853981634,45.5,15.819,15.819
44,E5,3.14159,-0.558505,0.7853981634,45.5,15.819,15.819
45,E6,-2.51327,-0.558505,0.7853981634,45.5,15.819,15.819
46,E7,-1.88496,-0.558505,0.7853981634,45.5,15.819,15.819
47,E8,-1.25664,-0.558505,0.7853981634,45.5,15.819,15.819
48,E9,-0.628319,-0.558505,0.7853981634,45.5,15.819,15.819
