"Det. Number","Det. Name","Phi (rad)","Elevation (rad)","Rotation (rad)","Distance (cm)","Width (cm)","Height (cm)","In Use (1)?"
10,10,0.0000000000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
11,11,0.6283190000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
12,12,1.2566400000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
13,13,1.8849600000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
14,14,2.5132700000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
15,15,3.1415900000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
16,16,-2.5132700000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
17,17,-1.8849600000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
18,18,-1.2566400000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
19,19,-0.6283190000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
20,20,0.3141590000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
21,21,0.9424780000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
22,22,1.5708000000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
23,23,2.1991100000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
24,24,2.8274300000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
25,25,-2.8274300000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
26,26,-2.1991100000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
27,27,-1.5708000000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
28,28,-0.9424780000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
29,29,-0.3141590000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
31,31,0.6283190000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,
32,32,1.2566400000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,
33,33,1.8849600000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,
34,34,2.5132700000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,
36,36,-2.5132700000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
37,37,-1.8849600000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
38,38,-1.2566400000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
39,39,-0.6283190000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
40,40,0.3141590000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
41,41,0.9424780000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
42,42,1.5708000000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
43,43,2.1991100000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
44,44,2.8274300000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
45,45,-2.8274300000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,
46,46,-2.1991100000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
47,47,-1.5708000000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
48,48,-0.9424780000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
49,49,-0.3141590000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
50,50,0.0000000000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
51,51,0.6283190000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
52,52,1.2566400000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
53,53,1.8849600000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
54,54,2.5132700000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
55,55,3.1415900000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
56,56,-2.5132700000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
57,57,-1.8849600000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
58,58,-1.2566400000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
59,59,-0.6283190000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,
